benchmark,input_size,run,compilation_time_ms,execution_time_ms,opcode_executions,gc_count,gc_time_ms,peak_heap_usage_bytes,total_bytes_allocated,total_bytes_freed,anomaly_label,anomaly_score
allocation,1000000,1,0.0,703.0,21000019,90300,157.0,1048598,156001626,155999972,-1,-0.12010018546160917
allocation,1000000,2,0.0,592.0,21000019,90300,109.0,1048598,156001626,155999972,-1,-0.08060044060312455
allocation,1000000,3,0.0,637.0,21000019,90300,97.0,1048598,156001626,155999972,-1,-0.0255903364184753
allocation,1000000,4,0.0,633.0,21000019,90300,99.0,1048598,156001626,155999972,-1,-0.022038577249325786
allocation,1000000,5,0.0,663.0,21000019,90300,127.0,1048598,156001626,155999972,-1,-0.06806509356867008
allocation,100000,1,0.0,77.0,2100019,8481,16.0,1048598,15601626,15598568,1,0.02021726201297802
allocation,100000,2,0.0,154.0,2100019,8481,32.0,1048598,15601626,15598568,-1,-0.0035695961303550128
allocation,100000,3,0.0,86.0,2100019,8481,31.0,1048598,15601626,15598568,1,0.002900707589905571
allocation,100000,4,0.0,173.0,2100019,8481,20.0,1048598,15601626,15598568,1,0.0014365898043910974
allocation,100000,5,0.0,110.0,2100019,8481,6.0,1048598,15601626,15598568,-1,-0.00989768197186891
allocation,10000,1,0.0,13.0,210019,300,2.0,1048598,1561626,1559972,1,0.08961055410195018
allocation,10000,2,0.0,21.0,210019,300,12.0,1048598,1561626,1559972,1,0.00018787348054494224
allocation,10000,3,0.0,13.0,210019,300,2.0,1048598,1561626,1559972,1,0.08961055410195018
allocation,10000,4,0.0,14.0,210019,300,7.0,1048598,1561626,1559972,1,0.04203279298755769
allocation,10000,5,0.0,11.0,210019,300,0.0,1048598,1561626,1559972,1,0.030193520169490395
allocation,1000,1,0.0,1.0,21019,0,0.0,157498,157626,128,1,0.14594203167754372
allocation,1000,2,0.0,0.0,21019,0,0.0,157498,157626,128,1,0.1312161404680917
allocation,1000,3,0.0,2.0,21019,0,0.0,157498,157626,128,1,0.11037707637058713
allocation,1000,4,0.0,1.0,21019,0,0.0,157498,157626,128,1,0.14594203167754372
allocation,1000,5,0.0,0.0,21019,0,0.0,157498,157626,128,1,0.1312161404680917
arithmetic,10000000,1,0.0,6092.0,310000015,0,0.0,1386,1386,0,1,0.07140385837643837
arithmetic,10000000,2,0.0,5830.0,310000015,0,0.0,1386,1386,0,1,0.09713243950467398
arithmetic,10000000,3,0.0,5772.0,310000015,0,0.0,1386,1386,0,1,0.09645510046299988
arithmetic,10000000,4,0.0,5797.0,310000015,0,0.0,1386,1386,0,1,0.11105798584707183
arithmetic,10000000,5,0.0,6429.0,310000015,0,0.0,1386,1386,0,1,0.038332982837967045
arithmetic,1000000,1,0.0,671.0,31000015,0,0.0,1386,1386,0,1,0.19760860259797497
arithmetic,1000000,2,0.0,621.0,31000015,0,0.0,1386,1386,0,1,0.2212418626574435
arithmetic,1000000,3,0.0,613.0,31000015,0,0.0,1386,1386,0,1,0.22534875868825532
arithmetic,1000000,4,0.0,604.0,31000015,0,0.0,1386,1386,0,1,0.22231625425379598
arithmetic,1000000,5,0.0,758.0,31000015,0,0.0,1386,1386,0,1,0.17292195632838642
arithmetic,100000,1,0.0,75.0,3100015,0,0.0,1386,1386,0,1,0.29215207126776854
arithmetic,100000,2,0.0,73.0,3100015,0,0.0,1386,1386,0,1,0.29215207126776854
arithmetic,100000,3,0.0,70.0,3100015,0,0.0,1386,1386,0,1,0.2918234895626564
arithmetic,100000,4,0.0,72.0,3100015,0,0.0,1386,1386,0,1,0.29215207126776854
arithmetic,100000,5,0.0,147.0,3100015,0,0.0,1386,1386,0,1,0.27256365924013815
arithmetic,10000,1,0.0,8.0,310015,0,0.0,1386,1386,0,1,0.30070798919394376
arithmetic,10000,2,0.0,22.0,310015,0,0.0,1386,1386,0,1,0.30047201367646836
arithmetic,10000,3,0.0,18.0,310015,0,0.0,1386,1386,0,1,0.30173658963242606
arithmetic,10000,4,0.0,18.0,310015,0,0.0,1386,1386,0,1,0.30173658963242606
arithmetic,10000,5,0.0,21.0,310015,0,0.0,1386,1386,0,1,0.3012842483197726
closures,1000000,1,0.0,341.0,21000030,0,0.0,1613,1741,128,1,0.2215597713410798
closures,1000000,2,0.0,437.0,21000030,0,0.0,1613,1741,128,1,0.19214860373854142
closures,1000000,3,0.0,326.0,21000030,0,0.0,1613,1741,128,1,0.22974373847459817
closures,1000000,4,0.0,326.0,21000030,0,0.0,1613,1741,128,1,0.22974373847459817
closures,1000000,5,0.0,314.0,21000030,0,0.0,1613,1741,128,1,0.21845966933385447
closures,100000,1,0.0,80.0,2100030,0,0.0,1613,1741,128,1,0.2747515996812504
closures,100000,2,0.0,79.0,2100030,0,0.0,1613,1741,128,1,0.2747515996812504
closures,100000,3,0.0,66.0,2100030,0,0.0,1613,1741,128,1,0.2772808128558918
closures,100000,4,0.0,42.0,2100030,0,0.0,1613,1741,128,1,0.27504630246367545
closures,100000,5,0.0,43.0,2100030,0,0.0,1613,1741,128,1,0.2787154496360454
closures,10000,1,0.0,5.0,210030,0,0.0,1613,1741,128,1,0.29994694335490407
closures,10000,2,0.0,7.0,210030,0,0.0,1613,1741,128,1,0.2985698187176265
closures,10000,3,0.0,5.0,210030,0,0.0,1613,1741,128,1,0.29994694335490407
closures,10000,4,0.0,10.0,210030,0,0.0,1613,1741,128,1,0.2965282173736931
