benchmark,input_size,run,compilation_time_ms,execution_time_ms,opcode_executions,gc_count,gc_time_ms,peak_heap_usage_bytes,total_bytes_allocated,total_bytes_freed
allocation,1000000,1,0.0,703.0,21000019,90300,157.0,1048598,156001626,155999972
allocation,1000000,2,0.0,592.0,21000019,90300,109.0,1048598,156001626,155999972
allocation,1000000,3,0.0,637.0,21000019,90300,97.0,1048598,156001626,155999972
allocation,1000000,4,0.0,633.0,21000019,90300,99.0,1048598,156001626,155999972
allocation,1000000,5,0.0,663.0,21000019,90300,127.0,1048598,156001626,155999972
allocation,100000,1,0.0,77.0,2100019,8481,16.0,1048598,15601626,15598568
allocation,100000,2,0.0,154.0,2100019,8481,32.0,1048598,15601626,15598568
allocation,100000,3,0.0,86.0,2100019,8481,31.0,1048598,15601626,15598568
allocation,100000,4,0.0,173.0,2100019,8481,20.0,1048598,15601626,15598568
allocation,100000,5,0.0,110.0,2100019,8481,6.0,1048598,15601626,15598568
allocation,10000,1,0.0,13.0,210019,300,2.0,1048598,1561626,1559972
allocation,10000,2,0.0,21.0,210019,300,12.0,1048598,1561626,1559972
allocation,10000,3,0.0,13.0,210019,300,2.0,1048598,1561626,1559972
allocation,10000,4,0.0,14.0,210019,300,7.0,1048598,1561626,1559972
allocation,10000,5,0.0,11.0,210019,300,0.0,1048598,1561626,1559972
allocation,1000,1,0.0,1.0,21019,0,0.0,157498,157626,128
allocation,1000,2,0.0,0.0,21019,0,0.0,157498,157626,128
allocation,1000,3,0.0,2.0,21019,0,0.0,157498,157626,128
allocation,1000,4,0.0,1.0,21019,0,0.0,157498,157626,128
allocation,1000,5,0.0,0.0,21019,0,0.0,157498,157626,128
arithmetic,10000000,1,0.0,6092.0,310000015,0,0.0,1386,1386,0
arithmetic,10000000,2,0.0,5830.0,310000015,0,0.0,1386,1386,0
arithmetic,10000000,3,0.0,5772.0,310000015,0,0.0,1386,1386,0
arithmetic,10000000,4,0.0,5797.0,310000015,0,0.0,1386,1386,0
arithmetic,10000000,5,0.0,6429.0,310000015,0,0.0,1386,1386,0
arithmetic,1000000,1,0.0,671.0,31000015,0,0.0,1386,1386,0
arithmetic,1000000,2,0.0,621.0,31000015,0,0.0,1386,1386,0
arithmetic,1000000,3,0.0,613.0,31000015,0,0.0,1386,1386,0
arithmetic,1000000,4,0.0,604.0,31000015,0,0.0,1386,1386,0
arithmetic,1000000,5,0.0,758.0,31000015,0,0.0,1386,1386,0
arithmetic,100000,1,0.0,75.0,3100015,0,0.0,1386,1386,0
arithmetic,100000,2,0.0,73.0,3100015,0,0.0,1386,1386,0
arithmetic,100000,3,0.0,70.0,3100015,0,0.0,1386,1386,0
arithmetic,100000,4,0.0,72.0,3100015,0,0.0,1386,1386,0
arithmetic,100000,5,0.0,147.0,3100015,0,0.0,1386,1386,0
arithmetic,10000,1,0.0,8.0,310015,0,0.0,1386,1386,0
arithmetic,10000,2,0.0,22.0,310015,0,0.0,1386,1386,0
arithmetic,10000,3,0.0,18.0,310015,0,0.0,1386,1386,0
arithmetic,10000,4,0.0,18.0,310015,0,0.0,1386,1386,0
arithmetic,10000,5,0.0,21.0,310015,0,0.0,1386,1386,0
closures,1000000,1,0.0,341.0,21000030,0,0.0,1613,1741,128
closures,1000000,2,0.0,437.0,21000030,0,0.0,1613,1741,128
closures,1000000,3,0.0,326.0,21000030,0,0.0,1613,1741,128
closures,1000000,4,0.0,326.0,21000030,0,0.0,1613,1741,128
closures,1000000,5,0.0,314.0,21000030,0,0.0,1613,1741,128
closures,100000,1,0.0,80.0,2100030,0,0.0,1613,1741,128
closures,100000,2,0.0,79.0,2100030,0,0.0,1613,1741,128
closures,100000,3,0.0,66.0,2100030,0,0.0,1613,1741,128
closures,100000,4,0.0,42.0,2100030,0,0.0,1613,1741,128
closures,100000,5,0.0,43.0,2100030,0,0.0,1613,1741,128
closures,10000,1,0.0,5.0,210030,0,0.0,1613,1741,128
closures,10000,2,0.0,7.0,210030,0,0.0,1613,1741,128
closures,10000,3,0.0,5.0,210030,0,0.0,1613,1741,128
closures,10000,4,0.0,10.0,210030,0,0.0,1613,1741,128
closures,10000,5,0.0,9.0,210030,0,0.0,1613,1741,128
closures,1000,1,0.0,0.0,21030,0,0.0,1613,1741,128
closures,1000,2,0.0,0.0,21030,0,0.0,1613,1741,128
closures,1000,3,0.0,0.0,21030,0,0.0,1613,1741,128
closures,1000,4,0.0,0.0,21030,0,0.0,1613,1741,128
closures,1000,5,0.0,1.0,21030,0,0.0,1613,1741,128
functions,1000000,1,0.0,414.0,21000017,0,0.0,1210,1210,0
functions,1000000,2,0.0,398.0,21000017,0,0.0,1210,1210,0
functions,1000000,3,0.0,423.0,21000017,0,0.0,1210,1210,0
functions,1000000,4,0.0,386.0,21000017,0,0.0,1210,1210,0
functions,1000000,5,0.0,372.0,21000017,0,0.0,1210,1210,0
functions,100000,1,0.0,75.0,2100017,0,0.0,1210,1210,0
functions,100000,2,0.0,53.0,2100017,0,0.0,1210,1210,0
functions,100000,3,0.0,48.0,2100017,0,0.0,1210,1210,0
functions,100000,4,0.0,60.0,2100017,0,0.0,1210,1210,0
functions,100000,5,0.0,45.0,2100017,0,0.0,1210,1210,0
functions,10000,1,0.0,3.0,210017,0,0.0,1210,1210,0
functions,10000,2,0.0,13.0,210017,0,0.0,1210,1210,0
functions,10000,3,0.0,6.0,210017,0,0.0,1210,1210,0
functions,10000,4,0.0,4.0,210017,0,0.0,1210,1210,0
functions,10000,5,0.0,5.0,210017,0,0.0,1210,1210,0
functions,1000,1,0.0,0.0,21017,0,0.0,1210,1210,0
functions,1000,2,0.0,1.0,21017,0,0.0,1210,1210,0
functions,1000,3,0.0,0.0,21017,0,0.0,1210,1210,0
functions,1000,4,0.0,1.0,21017,0,0.0,1210,1210,0
functions,1000,5,0.0,0.0,21017,0,0.0,1210,1210,0
inheritance,1000000,1,0.0,492.0,25000034,0,0.0,2667,2795,256
inheritance,1000000,2,0.0,479.0,25000034,0,0.0,2667,2795,256
inheritance,1000000,3,0.0,511.0,25000034,0,0.0,2667,2795,256
inheritance,1000000,4,0.0,484.0,25000034,0,0.0,2667,2795,256
inheritance,1000000,5,0.0,476.0,25000034,0,0.0,2667,2795,256
inheritance,100000,1,0.0,52.0,2500034,0,0.0,2667,2795,256
inheritance,100000,2,0.0,54.0,2500034,0,0.0,2667,2795,256
inheritance,100000,3,0.0,56.0,2500034,0,0.0,2667,2795,256
inheritance,100000,4,0.0,94.0,2500034,0,0.0,2667,2795,256
inheritance,100000,5,0.0,72.0,2500034,0,0.0,2667,2795,256
inheritance,10000,1,0.0,6.0,250034,0,0.0,2667,2795,256
inheritance,10000,2,0.0,9.0,250034,0,0.0,2667,2795,256
inheritance,10000,3,0.0,3.0,250034,0,0.0,2667,2795,256
inheritance,10000,4,0.0,6.0,250034,0,0.0,2667,2795,256
inheritance,10000,5,0.0,5.0,250034,0,0.0,2667,2795,256
inheritance,1000,1,0.0,8.0,25034,0,0.0,2667,2795,256
inheritance,1000,2,0.0,2.0,25034,0,0.0,2667,2795,256
inheritance,1000,3,0.0,0.0,25034,0,0.0,2667,2795,256
inheritance,1000,4,0.0,0.0,25034,0,0.0,2667,2795,256
inheritance,1000,5,0.0,0.0,25034,0,0.0,2667,2795,256
loops,10000000,1,0.0,4618.0,235000015,0,0.0,1385,1385,0
loops,10000000,2,0.0,4652.0,235000015,0,0.0,1385,1385,0
loops,10000000,3,0.0,4344.0,235000015,0,0.0,1385,1385,0
loops,10000000,4,0.0,4279.0,235000015,0,0.0,1385,1385,0
loops,10000000,5,0.0,4408.0,235000015,0,0.0,1385,1385,0
loops,1000000,1,0.0,442.0,23500015,0,0.0,1385,1385,0
loops,1000000,2,0.0,402.0,23500015,0,0.0,1385,1385,0
loops,1000000,3,0.0,400.0,23500015,0,0.0,1385,1385,0
loops,1000000,4,0.0,406.0,23500015,0,0.0,1385,1385,0
loops,1000000,5,0.0,407.0,23500015,0,0.0,1385,1385,0
loops,100000,1,0.0,53.0,2350015,0,0.0,1385,1385,0
loops,100000,2,0.0,51.0,2350015,0,0.0,1385,1385,0
loops,100000,3,0.0,101.0,2350015,0,0.0,1385,1385,0
loops,100000,4,0.0,71.0,2350015,0,0.0,1385,1385,0
loops,100000,5,0.0,118.0,2350015,0,0.0,1385,1385,0
loops,10000,1,0.0,6.0,235015,0,0.0,1385,1385,0
loops,10000,2,0.0,5.0,235015,0,0.0,1385,1385,0
loops,10000,3,0.0,10.0,235015,0,0.0,1385,1385,0
loops,10000,4,0.0,7.0,235015,0,0.0,1385,1385,0
loops,10000,5,0.0,5.0,235015,0,0.0,1385,1385,0
objects,1000000,1,0.0,483.0,23000036,0,0.0,2576,2704,128
objects,1000000,2,0.0,469.0,23000036,0,0.0,2576,2704,128
objects,1000000,3,0.0,436.0,23000036,0,0.0,2576,2704,128
objects,1000000,4,0.0,404.0,23000036,0,0.0,2576,2704,128
objects,1000000,5,0.0,416.0,23000036,0,0.0,2576,2704,128
objects,100000,1,0.0,57.0,2300036,0,0.0,2576,2704,128
objects,100000,2,0.0,75.0,2300036,0,0.0,2576,2704,128
objects,100000,3,0.0,45.0,2300036,0,0.0,2576,2704,128
objects,100000,4,0.0,58.0,2300036,0,0.0,2576,2704,128
objects,100000,5,0.0,50.0,2300036,0,0.0,2576,2704,128
objects,10000,1,0.0,5.0,230036,0,0.0,2576,2704,128
objects,10000,2,0.0,6.0,230036,0,0.0,2576,2704,128
objects,10000,3,0.0,12.0,230036,0,0.0,2576,2704,128
objects,10000,4,0.0,7.0,230036,0,0.0,2576,2704,128
objects,10000,5,0.0,5.0,230036,0,0.0,2576,2704,128
objects,1000,1,0.0,0.0,23036,0,0.0,2576,2704,128
objects,1000,2,0.0,1.0,23036,0,0.0,2576,2704,128
objects,1000,3,0.0,1.0,23036,0,0.0,2576,2704,128
objects,1000,4,0.0,1.0,23036,0,0.0,2576,2704,128
objects,1000,5,0.0,1.0,23036,0,0.0,2576,2704,128
recursion,20,1,0.0,7.0,284588,0,0.0,1151,1151,0
recursion,20,2,0.0,8.0,284588,0,0.0,1151,1151,0
recursion,20,3,0.0,6.0,284588,0,0.0,1151,1151,0
recursion,20,4,0.0,6.0,284588,0,0.0,1151,1151,0
recursion,20,5,0.0,6.0,284588,0,0.0,1151,1151,0
recursion,25,1,0.0,64.0,3156210,0,0.0,1151,1151,0
recursion,25,2,0.0,126.0,3156210,0,0.0,1151,1151,0
recursion,25,3,0.0,128.0,3156210,0,0.0,1151,1151,0
recursion,25,4,0.0,56.0,3156210,0,0.0,1151,1151,0
recursion,25,5,0.0,70.0,3156210,0,0.0,1151,1151,0
recursion,30,1,0.0,621.0,35002986,0,0.0,1151,1151,0
recursion,30,2,0.0,562.0,35002986,0,0.0,1151,1151,0
recursion,30,3,0.0,551.0,35002986,0,0.0,1151,1151,0
recursion,30,4,0.0,527.0,35002986,0,0.0,1151,1151,0
