benchmark,input_size,run,opcode,count
allocation,1000000,1,OP_CONSTANT,1000003
allocation,1000000,1,OP_NIL,1
allocation,1000000,1,OP_POP,4000002
allocation,1000000,1,OP_GET_LOCAL,3000000
allocation,1000000,1,OP_GET_GLOBAL,5000003
allocation,1000000,1,OP_DEFINE_GLOBAL,3
allocation,1000000,1,OP_SET_GLOBAL,1000000
allocation,1000000,1,OP_SET_PROPERTY,1000000
allocation,1000000,1,OP_LESS,1000001
allocation,1000000,1,OP_ADD,1000000
allocation,1000000,1,OP_PRINT,1
allocation,1000000,1,OP_JUMP_IF_FALSE,1000001
allocation,1000000,1,OP_LOOP,1000000
allocation,1000000,1,OP_CALL,1000000
allocation,1000000,1,OP_CLOSURE,1
allocation,1000000,1,OP_RETURN,1000001
allocation,1000000,1,OP_CLASS,1
allocation,1000000,1,OP_METHOD,1
allocation,1000000,2,OP_CONSTANT,1000003
allocation,1000000,2,OP_NIL,1
allocation,1000000,2,OP_POP,4000002
allocation,1000000,2,OP_GET_LOCAL,3000000
allocation,1000000,2,OP_GET_GLOBAL,5000003
allocation,1000000,2,OP_DEFINE_GLOBAL,3
allocation,1000000,2,OP_SET_GLOBAL,1000000
allocation,1000000,2,OP_SET_PROPERTY,1000000
allocation,1000000,2,OP_LESS,1000001
allocation,1000000,2,OP_ADD,1000000
allocation,1000000,2,OP_PRINT,1
allocation,1000000,2,OP_JUMP_IF_FALSE,1000001
allocation,1000000,2,OP_LOOP,1000000
allocation,1000000,2,OP_CALL,1000000
allocation,1000000,2,OP_CLOSURE,1
allocation,1000000,2,OP_RETURN,1000001
allocation,1000000,2,OP_CLASS,1
allocation,1000000,2,OP_METHOD,1
allocation,1000000,3,OP_CONSTANT,1000003
allocation,1000000,3,OP_NIL,1
allocation,1000000,3,OP_POP,4000002
allocation,1000000,3,OP_GET_LOCAL,3000000
allocation,1000000,3,OP_GET_GLOBAL,5000003
allocation,1000000,3,OP_DEFINE_GLOBAL,3
allocation,1000000,3,OP_SET_GLOBAL,1000000
allocation,1000000,3,OP_SET_PROPERTY,1000000
allocation,1000000,3,OP_LESS,1000001
allocation,1000000,3,OP_ADD,1000000
allocation,1000000,3,OP_PRINT,1
allocation,1000000,3,OP_JUMP_IF_FALSE,1000001
allocation,1000000,3,OP_LOOP,1000000
allocation,1000000,3,OP_CALL,1000000
allocation,1000000,3,OP_CLOSURE,1
allocation,1000000,3,OP_RETURN,1000001
allocation,1000000,3,OP_CLASS,1
allocation,1000000,3,OP_METHOD,1
allocation,1000000,4,OP_CONSTANT,1000003
allocation,1000000,4,OP_NIL,1
allocation,1000000,4,OP_POP,4000002
allocation,1000000,4,OP_GET_LOCAL,3000000
allocation,1000000,4,OP_GET_GLOBAL,5000003
allocation,1000000,4,OP_DEFINE_GLOBAL,3
allocation,1000000,4,OP_SET_GLOBAL,1000000
allocation,1000000,4,OP_SET_PROPERTY,1000000
allocation,1000000,4,OP_LESS,1000001
