benchmark,input_size,rank,opcode,mean_count,percentage_of_total
allocation,1000,1,OP_GET_GLOBAL,5003.0,23.80227413292735
allocation,1000,2,OP_POP,4002.0,19.03991626623531
allocation,1000,3,OP_GET_LOCAL,3000.0,14.272800799276844
allocation,1000,4,OP_CONSTANT,1003.0,4.771873067224892
allocation,1000,5,OP_LESS,1001.0,4.7623578666920405
allocation,1000,6,OP_JUMP_IF_FALSE,1001.0,4.7623578666920405
allocation,1000,7,OP_RETURN,1001.0,4.7623578666920405
allocation,1000,8,OP_ADD,1000.0,4.757600266425615
allocation,1000,9,OP_CALL,1000.0,4.757600266425615
allocation,1000,10,OP_SET_GLOBAL,1000.0,4.757600266425615
allocation,10000,1,OP_GET_GLOBAL,50003.0,23.80879825158676
allocation,10000,2,OP_POP,40002.0,19.046848142310935
allocation,10000,3,OP_GET_LOCAL,30000.0,14.284421885638917
allocation,10000,4,OP_CONSTANT,10003.0,4.762902404068203
allocation,10000,5,OP_LESS,10001.0,4.761950109275827
allocation,10000,6,OP_JUMP_IF_FALSE,10001.0,4.761950109275827
allocation,10000,7,OP_RETURN,10001.0,4.761950109275827
allocation,10000,8,OP_ADD,10000.0,4.76147396187964
allocation,10000,9,OP_CALL,10000.0,4.76147396187964
allocation,10000,10,OP_SET_GLOBAL,10000.0,4.76147396187964
allocation,100000,1,OP_GET_GLOBAL,500003.0,23.809451247822043
allocation,100000,2,OP_POP,400002.0,19.04754195081092
allocation,100000,3,OP_GET_LOCAL,300000.0,14.285585035183015
allocation,100000,4,OP_CONSTANT,100003.0,4.76200453424469
allocation,100000,5,OP_LESS,100001.0,4.7619092970111225
allocation,100000,6,OP_JUMP_IF_FALSE,100001.0,4.7619092970111225
allocation,100000,7,OP_RETURN,100001.0,4.7619092970111225
allocation,100000,8,OP_ADD,100000.0,4.761861678394339
allocation,100000,9,OP_CALL,100000.0,4.761861678394339
allocation,100000,10,OP_SET_GLOBAL,100000.0,4.761861678394339
allocation,1000000,1,OP_GET_GLOBAL,5000003.0,23.809516553294547
allocation,1000000,2,OP_POP,4000002.0,19.047611337875455
allocation,1000000,3,OP_GET_LOCAL,3000000.0,14.28570136055591
allocation,1000000,4,OP_CONSTANT,1000003.0,4.761914739219998
allocation,1000000,5,OP_LESS,1000001.0,4.76190521541909
allocation,1000000,6,OP_JUMP_IF_FALSE,1000001.0,4.76190521541909
allocation,1000000,7,OP_RETURN,1000001.0,4.76190521541909
allocation,1000000,8,OP_ADD,1000000.0,4.7619004535186376
allocation,1000000,9,OP_CALL,1000000.0,4.7619004535186376
allocation,1000000,10,OP_SET_GLOBAL,1000000.0,4.7619004535186376
arithmetic,10000,1,OP_GET_GLOBAL,70003.0,22.580520297404963
arithmetic,10000,2,OP_POP,60001.0,19.354224795574407
arithmetic,10000,3,OP_CONSTANT,50003.0,16.129219553892554
arithmetic,10000,4,OP_SET_GLOBAL,50000.0,16.128251858781027
arithmetic,10000,5,OP_ADD,20000.0,6.45130074351241
arithmetic,10000,6,OP_LESS,10001.0,3.225972936793381
arithmetic,10000,7,OP_JUMP_IF_FALSE,10001.0,3.225972936793381
arithmetic,10000,8,OP_SUBTRACT,10000.0,3.225650371756205
arithmetic,10000,9,OP_DIVIDE,10000.0,3.225650371756205
arithmetic,10000,10,OP_MULTIPLY,10000.0,3.225650371756205
arithmetic,100000,1,OP_GET_GLOBAL,700003.0,22.58063267435803
arithmetic,100000,2,OP_POP,600001.0,19.354777315593637
arithmetic,100000,3,OP_CONSTANT,500003.0,16.12905098846296
arithmetic,100000,4,OP_SET_GLOBAL,500000.0,16.12895421473767
arithmetic,100000,5,OP_ADD,200000.0,6.451581685895068
arithmetic,100000,6,OP_LESS,100001.0,3.2258231008559637
arithmetic,100000,7,OP_JUMP_IF_FALSE,100001.0,3.2258231008559637
arithmetic,100000,8,OP_SUBTRACT,100000.0,3.225790842947534
arithmetic,100000,9,OP_DIVIDE,100000.0,3.225790842947534
arithmetic,100000,10,OP_MULTIPLY,100000.0,3.225790842947534
arithmetic,1000000,1,OP_GET_GLOBAL,7000003.0,22.580643912591654
arithmetic,1000000,2,OP_POP,6000001.0,19.354832570242305
arithmetic,1000000,3,OP_CONSTANT,5000003.0,16.12903413111252
arithmetic,1000000,4,OP_SET_GLOBAL,5000000.0,16.129024453697845
arithmetic,1000000,5,OP_ADD,2000000.0,6.451609781479138
arithmetic,1000000,6,OP_LESS,1000001.0,3.2258081165444596
arithmetic,1000000,7,OP_JUMP_IF_FALSE,1000001.0,3.2258081165444596
arithmetic,1000000,8,OP_SUBTRACT,1000000.0,3.225804890739569
arithmetic,1000000,9,OP_DIVIDE,1000000.0,3.225804890739569
arithmetic,1000000,10,OP_MULTIPLY,1000000.0,3.225804890739569
arithmetic,10000000,1,OP_GET_GLOBAL,70000003.0,22.580645036420403
arithmetic,10000000,2,OP_POP,60000001.0,19.35483809573364
