benchmark,input_size,opcode,mean_count,std_count,min_count,max_count,percentage_of_opcodes
allocation,1000,OP_ADD,1000.0,0.0,1000,1000,4.757600266425615
allocation,1000,OP_CALL,1000.0,0.0,1000,1000,4.757600266425615
allocation,1000,OP_CLASS,1.0,0.0,1,1,0.004757600266425615
allocation,1000,OP_CLOSURE,1.0,0.0,1,1,0.004757600266425615
allocation,1000,OP_CONSTANT,1003.0,0.0,1003,1003,4.771873067224892
allocation,1000,OP_DEFINE_GLOBAL,3.0,0.0,3,3,0.014272800799276845
allocation,1000,OP_GET_GLOBAL,5003.0,0.0,5003,5003,23.80227413292735
allocation,1000,OP_GET_LOCAL,3000.0,0.0,3000,3000,14.272800799276844
allocation,1000,OP_JUMP_IF_FALSE,1001.0,0.0,1001,1001,4.7623578666920405
allocation,1000,OP_LESS,1001.0,0.0,1001,1001,4.7623578666920405
allocation,1000,OP_LOOP,1000.0,0.0,1000,1000,4.757600266425615
allocation,1000,OP_METHOD,1.0,0.0,1,1,0.004757600266425615
allocation,1000,OP_NIL,1.0,0.0,1,1,0.004757600266425615
allocation,1000,OP_POP,4002.0,0.0,4002,4002,19.03991626623531
allocation,1000,OP_PRINT,1.0,0.0,1,1,0.004757600266425615
allocation,1000,OP_RETURN,1001.0,0.0,1001,1001,4.7623578666920405
allocation,1000,OP_SET_GLOBAL,1000.0,0.0,1000,1000,4.757600266425615
allocation,1000,OP_SET_PROPERTY,1000.0,0.0,1000,1000,4.757600266425615
allocation,10000,OP_ADD,10000.0,0.0,10000,10000,4.76147396187964
allocation,10000,OP_CALL,10000.0,0.0,10000,10000,4.76147396187964
allocation,10000,OP_CLASS,1.0,0.0,1,1,0.00047614739618796395
allocation,10000,OP_CLOSURE,1.0,0.0,1,1,0.00047614739618796395
allocation,10000,OP_CONSTANT,10003.0,0.0,10003,10003,4.762902404068203
allocation,10000,OP_DEFINE_GLOBAL,3.0,0.0,3,3,0.001428442188563892
allocation,10000,OP_GET_GLOBAL,50003.0,0.0,50003,50003,23.80879825158676
allocation,10000,OP_GET_LOCAL,30000.0,0.0,30000,30000,14.284421885638917
allocation,10000,OP_JUMP_IF_FALSE,10001.0,0.0,10001,10001,4.761950109275827
allocation,10000,OP_LESS,10001.0,0.0,10001,10001,4.761950109275827
allocation,10000,OP_LOOP,10000.0,0.0,10000,10000,4.76147396187964
allocation,10000,OP_METHOD,1.0,0.0,1,1,0.00047614739618796395
allocation,10000,OP_NIL,1.0,0.0,1,1,0.00047614739618796395
allocation,10000,OP_POP,40002.0,0.0,40002,40002,19.046848142310935
allocation,10000,OP_PRINT,1.0,0.0,1,1,0.00047614739618796395
allocation,10000,OP_RETURN,10001.0,0.0,10001,10001,4.761950109275827
allocation,10000,OP_SET_GLOBAL,10000.0,0.0,10000,10000,4.76147396187964
allocation,10000,OP_SET_PROPERTY,10000.0,0.0,10000,10000,4.76147396187964
allocation,100000,OP_ADD,100000.0,0.0,100000,100000,4.761861678394339
allocation,100000,OP_CALL,100000.0,0.0,100000,100000,4.761861678394339
allocation,100000,OP_CLASS,1.0,0.0,1,1,4.761861678394338e-05
allocation,100000,OP_CLOSURE,1.0,0.0,1,1,4.761861678394338e-05
allocation,100000,OP_CONSTANT,100003.0,0.0,100003,100003,4.76200453424469
allocation,100000,OP_DEFINE_GLOBAL,3.0,0.0,3,3,0.00014285585035183016
allocation,100000,OP_GET_GLOBAL,500003.0,0.0,500003,500003,23.809451247822043
allocation,100000,OP_GET_LOCAL,300000.0,0.0,300000,300000,14.285585035183015
allocation,100000,OP_JUMP_IF_FALSE,100001.0,0.0,100001,100001,4.7619092970111225
allocation,100000,OP_LESS,100001.0,0.0,100001,100001,4.7619092970111225
allocation,100000,OP_LOOP,100000.0,0.0,100000,100000,4.761861678394339
allocation,100000,OP_METHOD,1.0,0.0,1,1,4.761861678394338e-05
allocation,100000,OP_NIL,1.0,0.0,1,1,4.761861678394338e-05
allocation,100000,OP_POP,400002.0,0.0,400002,400002,19.04754195081092
allocation,100000,OP_PRINT,1.0,0.0,1,1,4.761861678394338e-05
allocation,100000,OP_RETURN,100001.0,0.0,100001,100001,4.7619092970111225
allocation,100000,OP_SET_GLOBAL,100000.0,0.0,100000,100000,4.761861678394339
allocation,100000,OP_SET_PROPERTY,100000.0,0.0,100000,100000,4.761861678394339
allocation,1000000,OP_ADD,1000000.0,0.0,1000000,1000000,4.7619004535186376
allocation,1000000,OP_CALL,1000000.0,0.0,1000000,1000000,4.7619004535186376
allocation,1000000,OP_CLASS,1.0,0.0,1,1,4.761900453518637e-06
allocation,1000000,OP_CLOSURE,1.0,0.0,1,1,4.761900453518637e-06
allocation,1000000,OP_CONSTANT,1000003.0,0.0,1000003,1000003,4.761914739219998
allocation,1000000,OP_DEFINE_GLOBAL,3.0,0.0,3,3,1.4285701360555912e-05
allocation,1000000,OP_GET_GLOBAL,5000003.0,0.0,5000003,5000003,23.809516553294547
allocation,1000000,OP_GET_LOCAL,3000000.0,0.0,3000000,3000000,14.28570136055591
allocation,1000000,OP_JUMP_IF_FALSE,1000001.0,0.0,1000001,1000001,4.76190521541909
allocation,1000000,OP_LESS,1000001.0,0.0,1000001,1000001,4.76190521541909
allocation,1000000,OP_LOOP,1000000.0,0.0,1000000,1000000,4.7619004535186376
allocation,1000000,OP_METHOD,1.0,0.0,1,1,4.761900453518637e-06
allocation,1000000,OP_NIL,1.0,0.0,1,1,4.761900453518637e-06
allocation,1000000,OP_POP,4000002.0,0.0,4000002,4000002,19.047611337875455
allocation,1000000,OP_PRINT,1.0,0.0,1,1,4.761900453518637e-06
allocation,1000000,OP_RETURN,1000001.0,0.0,1000001,1000001,4.76190521541909
allocation,1000000,OP_SET_GLOBAL,1000000.0,0.0,1000000,1000000,4.7619004535186376
allocation,1000000,OP_SET_PROPERTY,1000000.0,0.0,1000000,1000000,4.7619004535186376
arithmetic,10000,OP_ADD,20000.0,0.0,20000,20000,6.45130074351241
arithmetic,10000,OP_CONSTANT,50003.0,0.0,50003,50003,16.129219553892554
arithmetic,10000,OP_DEFINE_GLOBAL,3.0,0.0,3,3,0.0009676951115268616
arithmetic,10000,OP_DIVIDE,10000.0,0.0,10000,10000,3.225650371756205
arithmetic,10000,OP_GET_GLOBAL,70003.0,0.0,70003,70003,22.580520297404963
arithmetic,10000,OP_JUMP_IF_FALSE,10001.0,0.0,10001,10001,3.225972936793381
arithmetic,10000,OP_LESS,10001.0,0.0,10001,10001,3.225972936793381
arithmetic,10000,OP_LOOP,10000.0,0.0,10000,10000,3.225650371756205
arithmetic,10000,OP_MULTIPLY,10000.0,0.0,10000,10000,3.225650371756205
arithmetic,10000,OP_NIL,1.0,0.0,1,1,0.00032256503717562057
arithmetic,10000,OP_POP,60001.0,0.0,60001,60001,19.354224795574407
arithmetic,10000,OP_PRINT,1.0,0.0,1,1,0.00032256503717562057
arithmetic,10000,OP_RETURN,1.0,0.0,1,1,0.00032256503717562057
arithmetic,10000,OP_SET_GLOBAL,50000.0,0.0,50000,50000,16.128251858781027
arithmetic,10000,OP_SUBTRACT,10000.0,0.0,10000,10000,3.225650371756205
arithmetic,100000,OP_ADD,200000.0,0.0,200000,200000,6.451581685895068
arithmetic,100000,OP_CONSTANT,500003.0,0.0,500003,500003,16.12905098846296
arithmetic,100000,OP_DEFINE_GLOBAL,3.0,0.0,3,3,9.677372528842601e-05
arithmetic,100000,OP_DIVIDE,100000.0,0.0,100000,100000,3.225790842947534
arithmetic,100000,OP_GET_GLOBAL,700003.0,0.0,700003,700003,22.58063267435803
arithmetic,100000,OP_JUMP_IF_FALSE,100001.0,0.0,100001,100001,3.2258231008559637
arithmetic,100000,OP_LESS,100001.0,0.0,100001,100001,3.2258231008559637
arithmetic,100000,OP_LOOP,100000.0,0.0,100000,100000,3.225790842947534
arithmetic,100000,OP_MULTIPLY,100000.0,0.0,100000,100000,3.225790842947534
arithmetic,100000,OP_NIL,1.0,0.0,1,1,3.225790842947534e-05
arithmetic,100000,OP_POP,600001.0,0.0,600001,600001,19.354777315593637
arithmetic,100000,OP_PRINT,1.0,0.0,1,1,3.225790842947534e-05
arithmetic,100000,OP_RETURN,1.0,0.0,1,1,3.225790842947534e-05
arithmetic,100000,OP_SET_GLOBAL,500000.0,0.0,500000,500000,16.12895421473767
