benchmark,input_size,mean_execution_time_ms,mean_opcode_executions,mean_peak_heap_bytes,mean_bytes_allocated,linear_time_slope,linear_time_r2,linear_opcode_slope,linear_opcode_r2,linear_heap_slope,linear_heap_r2,linear_allocation_slope,linear_allocation_r2
allocation,1000,0.8,21019.0,157498.0,157626.0,0.0006284598139114204,0.9931133383431456,21.0,1.0,0.35153903145416654,0.14557053372975792,156.0,1.0
allocation,10000,14.4,210019.0,1048598.0,1561626.0,0.0006284598139114204,0.9931133383431456,21.0,1.0,0.35153903145416654,0.14557053372975792,156.0,1.0
allocation,100000,120.0,2100019.0,1048598.0,15601626.0,0.0006284598139114204,0.9931133383431456,21.0,1.0,0.35153903145416654,0.14557053372975792,156.0,1.0
allocation,1000000,645.6,21000019.0,1048598.0,156001626.0,0.0006284598139114204,0.9931133383431456,21.0,1.0,0.35153903145416654,0.14557053372975792,156.0,1.0
arithmetic,10000,17.4,310015.0,1386.0,1386.0,0.0005955041743241379,0.9999550330332387,31.0,1.0,7.022699758118857e-20,1.0,7.022699758118857e-20,1.0
arithmetic,100000,87.4,3100015.0,1386.0,1386.0,0.0005955041743241379,0.9999550330332387,31.0,1.0,7.022699758118857e-20,1.0,7.022699758118857e-20,1.0
arithmetic,1000000,653.4,31000015.0,1386.0,1386.0,0.0005955041743241379,0.9999550330332387,31.0,1.0,7.022699758118857e-20,1.0,7.022699758118857e-20,1.0
arithmetic,10000000,5984.0,310000015.0,1386.0,1386.0,0.0005955041743241379,0.9999550330332387,31.0,1.0,7.022699758118857e-20,1.0,7.022699758118857e-20,1.0
closures,1000,0.2,21030.0,1613.0,1741.0,0.0003405703252540998,0.9943004666892066,21.0,1.0,1.9393537439349016e-18,1.0,5.993619856326053e-19,1.0
closures,10000,7.2,210030.0,1613.0,1741.0,0.0003405703252540998,0.9943004666892066,21.0,1.0,1.9393537439349016e-18,1.0,5.993619856326053e-19,1.0
closures,100000,62.0,2100030.0,1613.0,1741.0,0.0003405703252540998,0.9943004666892066,21.0,1.0,1.9393537439349016e-18,1.0,5.993619856326053e-19,1.0
closures,1000000,348.8,21000030.0,1613.0,1741.0,0.0003405703252540998,0.9943004666892066,21.0,1.0,1.9393537439349016e-18,1.0,5.993619856326053e-19,1.0
functions,1000,0.4,21017.0,1210.0,1210.0,0.00039361423022768764,0.9984531623523253,21.0,1.0,5.446264803143508e-19,1.0,5.446264803143508e-19,1.0
functions,10000,6.2,210017.0,1210.0,1210.0,0.00039361423022768764,0.9984531623523253,21.0,1.0,5.446264803143508e-19,1.0,5.446264803143508e-19,1.0
functions,100000,56.2,2100017.0,1210.0,1210.0,0.00039361423022768764,0.9984531623523253,21.0,1.0,5.446264803143508e-19,1.0,5.446264803143508e-19,1.0
functions,1000000,398.6,21000017.0,1210.0,1210.0,0.00039361423022768764,0.9984531623523253,21.0,1.0,5.446264803143508e-19,1.0,5.446264803143508e-19,1.0
inheritance,1000,2.0,25034.0,2667.0,2795.0,0.00048320744610904243,0.9989445327438918,25.0,1.0,1.667804049242969e-18,1.0,1.3652728784962453e-18,1.0
inheritance,10000,5.8,250034.0,2667.0,2795.0,0.00048320744610904243,0.9989445327438918,25.0,1.0,1.667804049242969e-18,1.0,1.3652728784962453e-18,1.0
inheritance,100000,65.6,2500034.0,2667.0,2795.0,0.00048320744610904243,0.9989445327438918,25.0,1.0,1.667804049242969e-18,1.0,1.3652728784962453e-18,1.0
inheritance,1000000,488.4,25000034.0,2667.0,2795.0,0.00048320744610904243,0.9989445327438918,25.0,1.0,1.667804049242969e-18,1.0,1.3652728784962453e-18,1.0
loops,10000,6.6,235015.0,1385.0,1385.0,0.00044550754200784506,0.9998310011133467,23.500000000000004,1.0,5.0721693584755e-20,1.0,5.0721693584755e-20,1.0
loops,100000,78.8,2350015.0,1385.0,1385.0,0.00044550754200784506,0.9998310011133467,23.500000000000004,1.0,5.0721693584755e-20,1.0,5.0721693584755e-20,1.0
loops,1000000,411.4,23500015.0,1385.0,1385.0,0.00044550754200784506,0.9998310011133467,23.500000000000004,1.0,5.0721693584755e-20,1.0,5.0721693584755e-20,1.0
loops,10000000,4460.2,235000015.0,1385.0,1385.0,0.00044550754200784506,0.9998310011133467,23.500000000000004,1.0,5.0721693584755e-20,1.0,5.0721693584755e-20,1.0
objects,1000,0.8,23036.0,2576.0,2704.0,0.00043721899886781687,0.9992851236592207,23.0,1.0,1.7729043549831872e-18,1.0,7.528557194809805e-19,1.0
objects,10000,7.0,230036.0,2576.0,2704.0,0.00043721899886781687,0.9992851236592207,23.0,1.0,1.7729043549831872e-18,1.0,7.528557194809805e-19,1.0
objects,100000,57.0,2300036.0,2576.0,2704.0,0.00043721899886781687,0.9992851236592207,23.0,1.0,1.7729043549831872e-18,1.0,7.528557194809805e-19,1.0
objects,1000000,441.6,23000036.0,2576.0,2704.0,0.00043721899886781687,0.9992851236592207,23.0,1.0,1.7729043549831872e-18,1.0,7.528557194809805e-19,1.0
recursion,20,6.6,284588.0,1151.0,1151.0,411.2200000000011,0.666225139337198,23911208.88000005,0.6715541752790299,-3.320158869749145e-14,1.0,-3.320158869749145e-14,1.0
recursion,25,88.8,3156210.0,1151.0,1151.0,411.2200000000011,0.666225139337198,23911208.88000005,0.6715541752790299,-3.320158869749145e-14,1.0,-3.320158869749145e-14,1.0
recursion,30,558.2,35002986.0,1151.0,1151.0,411.2200000000011,0.666225139337198,23911208.88000005,0.6715541752790299,-3.320158869749145e-14,1.0,-3.320158869749145e-14,1.0
recursion,35,6703.8,388189144.0,1151.0,1151.0,411.2200000000011,0.666225139337198,23911208.88000005,0.6715541752790299,-3.320158869749145e-14,1.0,-3.320158869749145e-14,1.0
