benchmark,input_size,compilation_time_ms_mean,compilation_time_ms_std,compilation_time_ms_min,compilation_time_ms_max,execution_time_ms_mean,execution_time_ms_std,execution_time_ms_min,execution_time_ms_max,opcode_executions_mean,opcode_executions_std,opcode_executions_min,opcode_executions_max,gc_count_mean,gc_count_std,gc_count_min,gc_count_max,gc_time_ms_mean,gc_time_ms_std,gc_time_ms_min,gc_time_ms_max,peak_heap_usage_bytes_mean,peak_heap_usage_bytes_std,peak_heap_usage_bytes_min,peak_heap_usage_bytes_max,total_bytes_allocated_mean,total_bytes_allocated_std,total_bytes_allocated_min,total_bytes_allocated_max,total_bytes_freed_mean,total_bytes_freed_std,total_bytes_freed_min,total_bytes_freed_max,execution_time_cv_percent,compilation_time_cv_percent,opcode_executions_cv_percent
allocation,1000,0.0,0.0,0.0,0.0,0.8,0.8366600265340756,0.0,2.0,21019.0,0.0,21019,21019,0.0,0.0,0,0,0.0,0.0,0.0,0.0,157498.0,0.0,157498,157498,157626.0,0.0,157626,157626,128.0,0.0,128,128,104.58250331675944,,0.0
allocation,10000,0.0,0.0,0.0,0.0,14.4,3.847076812334269,11.0,21.0,210019.0,0.0,210019,210019,300.0,0.0,300,300,4.6,4.878524367060187,0.0,12.0,1048598.0,0.0,1048598,1048598,1561626.0,0.0,1561626,1561626,1559972.0,0.0,1559972,1559972,26.71581119676576,,0.0
allocation,100000,0.0,0.0,0.0,0.0,120.0,42.04164601915581,77.0,173.0,2100019.0,0.0,2100019,2100019,8481.0,0.0,8481,8481,21.0,10.862780491200215,6.0,32.0,1048598.0,0.0,1048598,1048598,15601626.0,0.0,15601626,15601626,15598568.0,0.0,15598568,15598568,35.03470501596318,,0.0
allocation,1000000,0.0,0.0,0.0,0.0,645.6,40.93653624819765,592.0,703.0,21000019.0,0.0,21000019,21000019,90300.0,0.0,90300,90300,117.8,24.92388412747901,97.0,157.0,1048598.0,0.0,1048598,1048598,156001626.0,0.0,156001626,156001626,155999972.0,0.0,155999972,155999972,6.340851339559735,,0.0
arithmetic,10000,0.0,0.0,0.0,0.0,17.4,5.549774770204643,8.0,22.0,310015.0,0.0,310015,310015,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1386.0,0.0,1386,1386,1386.0,0.0,1386,1386,0.0,0.0,0,0,31.895257300026692,,0.0
arithmetic,100000,0.0,0.0,0.0,0.0,87.4,33.36615051215828,70.0,147.0,3100015.0,0.0,3100015,3100015,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1386.0,0.0,1386,1386,1386.0,0.0,1386,1386,0.0,0.0,0,0,38.17637358370512,,0.0
arithmetic,1000000,0.0,0.0,0.0,0.0,653.4,63.978902772710946,604.0,758.0,31000015.0,0.0,31000015,31000015,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1386.0,0.0,1386,1386,1386.0,0.0,1386,1386,0.0,0.0,0,0,9.791690047859039,,0.0
arithmetic,10000000,0.0,0.0,0.0,0.0,5984.0,279.8740788283188,5772.0,6429.0,310000015.0,0.0,310000015,310000015,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1386.0,0.0,1386,1386,1386.0,0.0,1386,1386,0.0,0.0,0,0,4.677040087371638,,0.0
closures,1000,0.0,0.0,0.0,0.0,0.2,0.4472135954999579,0.0,1.0,21030.0,0.0,21030,21030,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1613.0,0.0,1613,1613,1741.0,0.0,1741,1741,128.0,0.0,128,128,223.60679774997894,,0.0
closures,10000,0.0,0.0,0.0,0.0,7.2,2.280350850198276,5.0,10.0,210030.0,0.0,210030,210030,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1613.0,0.0,1613,1613,1741.0,0.0,1741,1741,128.0,0.0,128,128,31.671539586087167,,0.0
closures,100000,0.0,0.0,0.0,0.0,62.0,18.641351882307248,42.0,80.0,2100030.0,0.0,2100030,2100030,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1613.0,0.0,1613,1613,1741.0,0.0,1741,1741,128.0,0.0,128,128,30.066696584366532,,0.0
closures,1000000,0.0,0.0,0.0,0.0,348.8,50.22648703622423,314.0,437.0,21000030.0,0.0,21000030,21000030,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1613.0,0.0,1613,1613,1741.0,0.0,1741,1741,128.0,0.0,128,128,14.399795595247772,,0.0
functions,1000,0.0,0.0,0.0,0.0,0.4,0.5477225575051661,0.0,1.0,21017.0,0.0,21017,21017,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1210.0,0.0,1210,1210,1210.0,0.0,1210,1210,0.0,0.0,0,0,136.9306393762915,,0.0
functions,10000,0.0,0.0,0.0,0.0,6.2,3.96232255123179,3.0,13.0,210017.0,0.0,210017,210017,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1210.0,0.0,1210,1210,1210.0,0.0,1210,1210,0.0,0.0,0,0,63.90842824567403,,0.0
functions,100000,0.0,0.0,0.0,0.0,56.2,11.945710527214361,45.0,75.0,2100017.0,0.0,2100017,2100017,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1210.0,0.0,1210,1210,1210.0,0.0,1210,1210,0.0,0.0,0,0,21.255712681876084,,0.0
functions,1000000,0.0,0.0,0.0,0.0,398.6,20.610676844781207,372.0,423.0,21000017.0,0.0,21000017,21000017,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1210.0,0.0,1210,1210,1210.0,0.0,1210,1210,0.0,0.0,0,0,5.170766895328953,,0.0
inheritance,1000,0.0,0.0,0.0,0.0,2.0,3.4641016151377544,0.0,8.0,25034.0,0.0,25034,25034,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2667.0,0.0,2667,2667,2795.0,0.0,2795,2795,256.0,0.0,256,256,173.20508075688772,,0.0
inheritance,10000,0.0,0.0,0.0,0.0,5.8,2.16794833886788,3.0,9.0,250034.0,0.0,250034,250034,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2667.0,0.0,2667,2667,2795.0,0.0,2795,2795,256.0,0.0,256,256,37.3784196356531,,0.0
inheritance,100000,0.0,0.0,0.0,0.0,65.6,17.7426040929735,52.0,94.0,2500034.0,0.0,2500034,2500034,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2667.0,0.0,2667,2667,2795.0,0.0,2795,2795,256.0,0.0,256,256,27.04665258075229,,0.0
inheritance,1000000,0.0,0.0,0.0,0.0,488.4,14.0107101889947,476.0,511.0,25000034.0,0.0,25000034,25000034,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2667.0,0.0,2667,2667,2795.0,0.0,2795,2795,256.0,0.0,256,256,2.868695779892445,,0.0
loops,10000,0.0,0.0,0.0,0.0,6.6,2.073644135332772,5.0,10.0,235015.0,0.0,235015,235015,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1385.0,0.0,1385,1385,1385.0,0.0,1385,1385,0.0,0.0,0,0,31.418850535345033,,0.0
loops,100000,0.0,0.0,0.0,0.0,78.8,29.7018517941222,51.0,118.0,2350015.0,0.0,2350015,2350015,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1385.0,0.0,1385,1385,1385.0,0.0,1385,1385,0.0,0.0,0,0,37.6927053224901,,0.0
loops,1000000,0.0,0.0,0.0,0.0,411.4,17.343586710943043,400.0,442.0,23500015.0,0.0,23500015,23500015,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1385.0,0.0,1385,1385,1385.0,0.0,1385,1385,0.0,0.0,0,0,4.21574786362252,,0.0
loops,10000000,0.0,0.0,0.0,0.0,4460.2,166.39471145442093,4279.0,4652.0,235000015.0,0.0,235000015,235000015,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1385.0,0.0,1385,1385,1385.0,0.0,1385,1385,0.0,0.0,0,0,3.730655832797205,,0.0
objects,1000,0.0,0.0,0.0,0.0,0.8,0.4472135954999579,0.0,1.0,23036.0,0.0,23036,23036,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2576.0,0.0,2576,2576,2704.0,0.0,2704,2704,128.0,0.0,128,128,55.901699437494734,,0.0
objects,10000,0.0,0.0,0.0,0.0,7.0,2.9154759474226504,5.0,12.0,230036.0,0.0,230036,230036,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2576.0,0.0,2576,2576,2704.0,0.0,2704,2704,128.0,0.0,128,128,41.649656391752146,,0.0
objects,100000,0.0,0.0,0.0,0.0,57.0,11.379806676741042,45.0,75.0,2300036.0,0.0,2300036,2300036,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2576.0,0.0,2576,2576,2704.0,0.0,2704,2704,128.0,0.0,128,128,19.96457311708955,,0.0
objects,1000000,0.0,0.0,0.0,0.0,441.6,33.78313188560233,404.0,483.0,23000036.0,0.0,23000036,23000036,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2576.0,0.0,2576,2576,2704.0,0.0,2704,2704,128.0,0.0,128,128,7.650165734964295,,0.0
recursion,20,0.0,0.0,0.0,0.0,6.6,0.8944271909999159,6.0,8.0,284588.0,0.0,284588,284588,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1151.0,0.0,1151,1151,1151.0,0.0,1151,1151,0.0,0.0,0,0,13.551927136362362,,0.0
recursion,25,0.0,0.0,0.0,0.0,88.8,35.230668458035254,56.0,128.0,3156210.0,0.0,3156210,3156210,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1151.0,0.0,1151,1151,1151.0,0.0,1151,1151,0.0,0.0,0,0,39.674176191481145,,0.0
recursion,30,0.0,0.0,0.0,0.0,558.2,38.00920941035212,527.0,621.0,35002986.0,0.0,35002986,35002986,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1151.0,0.0,1151,1151,1151.0,0.0,1151,1151,0.0,0.0,0,0,6.80924568440561,,0.0
recursion,35,0.0,0.0,0.0,0.0,6703.8,395.9390104548931,6422.0,7325.0,388189144.0,0.0,388189144,388189144,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1151.0,0.0,1151,1151,1151.0,0.0,1151,1151,0.0,0.0,0,0,5.906187691382396,,0.0
