benchmark,input_size,mean_ms,std_ms,min_ms,max_ms,median_ms,cv_percent,range_ms,range_percent,stability
allocation,1000,0.8,0.8366600265340756,0.0,2.0,1.0,104.58250331675944,2.0,250.0,Very high variability
allocation,10000,14.4,3.847076812334269,11.0,21.0,13.0,26.71581119676576,10.0,69.44444444444444,High variability
allocation,100000,120.0,42.04164601915581,77.0,173.0,110.0,35.03470501596318,96.0,80.0,High variability
allocation,1000000,645.6,40.93653624819765,592.0,703.0,637.0,6.340851339559735,111.0,17.193308550185872,Stable
arithmetic,10000,17.4,5.549774770204643,8.0,22.0,18.0,31.895257300026692,14.0,80.45977011494253,High variability
arithmetic,100000,87.4,33.36615051215828,70.0,147.0,73.0,38.17637358370512,77.0,88.10068649885582,High variability
arithmetic,1000000,653.4,63.978902772710946,604.0,758.0,621.0,9.791690047859039,154.0,23.56902356902357,Stable
arithmetic,10000000,5984.0,279.8740788283188,5772.0,6429.0,5830.0,4.677040087371638,657.0,10.97927807486631,Very stable
closures,1000,0.2,0.4472135954999579,0.0,1.0,0.0,223.60679774997894,1.0,500.0,Very high variability
closures,10000,7.2,2.280350850198276,5.0,10.0,7.0,31.671539586087167,5.0,69.44444444444444,High variability
closures,100000,62.0,18.641351882307248,42.0,80.0,66.0,30.066696584366532,38.0,61.29032258064516,High variability
closures,1000000,348.8,50.22648703622423,314.0,437.0,326.0,14.399795595247772,123.0,35.26376146788991,Moderate variability
functions,1000,0.4,0.5477225575051661,0.0,1.0,0.0,136.9306393762915,1.0,250.0,Very high variability
functions,10000,6.2,3.96232255123179,3.0,13.0,5.0,63.90842824567403,10.0,161.29032258064515,Very high variability
functions,100000,56.2,11.945710527214361,45.0,75.0,53.0,21.255712681876084,30.0,53.380782918149464,High variability
functions,1000000,398.6,20.610676844781207,372.0,423.0,398.0,5.170766895328953,51.0,12.794781736076267,Stable
inheritance,1000,2.0,3.4641016151377544,0.0,8.0,0.0,173.20508075688772,8.0,400.0,Very high variability
inheritance,10000,5.8,2.16794833886788,3.0,9.0,6.0,37.3784196356531,6.0,103.44827586206897,High variability
inheritance,100000,65.6,17.7426040929735,52.0,94.0,56.0,27.04665258075229,42.0,64.02439024390245,High variability
inheritance,1000000,488.4,14.0107101889947,476.0,511.0,484.0,2.868695779892445,35.0,7.166257166257167,Very stable
loops,10000,6.6,2.073644135332772,5.0,10.0,6.0,31.418850535345033,5.0,75.75757575757575,High variability
loops,100000,78.8,29.7018517941222,51.0,118.0,71.0,37.6927053224901,67.0,85.0253807106599,High variability
loops,1000000,411.4,17.343586710943043,400.0,442.0,406.0,4.21574786362252,42.0,10.209042294603792,Very stable
loops,10000000,4460.2,166.39471145442093,4279.0,4652.0,4408.0,3.730655832797205,373.0,8.362853683691315,Very stable
objects,1000,0.8,0.4472135954999579,0.0,1.0,1.0,55.901699437494734,1.0,125.0,Very high variability
objects,10000,7.0,2.9154759474226504,5.0,12.0,6.0,41.649656391752146,7.0,100.0,High variability
objects,100000,57.0,11.379806676741042,45.0,75.0,57.0,19.96457311708955,30.0,52.63157894736842,Moderate variability
objects,1000000,441.6,33.78313188560233,404.0,483.0,436.0,7.650165734964295,79.0,17.889492753623188,Stable
recursion,20,6.6,0.8944271909999159,6.0,8.0,6.0,13.551927136362362,2.0,30.303030303030305,Moderate variability
recursion,25,88.8,35.230668458035254,56.0,128.0,70.0,39.674176191481145,72.0,81.08108108108108,High variability
recursion,30,558.2,38.00920941035212,527.0,621.0,551.0,6.80924568440561,94.0,16.839842350412038,Stable
recursion,35,6703.8,395.9390104548931,6422.0,7325.0,6473.0,5.906187691382396,903.0,13.469972254542201,Stable
